"","timestamp","open","high","low","close","volume"
"621",2011-09-30,13.96,14.29,12.49,12.51,113356100
"622",2011-10-07,12.35,14.36,11.47,14.15,118708000
"623",2011-10-14,14.39,15.89,14.36,15.72,87995100
"624",2011-10-21,15.54,15.77,13.84,14.48,84475000
"625",2011-10-28,14.54,15.74,14.2,15.6,67106400
"626",2011-11-04,15.1,15.19,13.53,14.82,91915700
"627",2011-11-11,14.71,15.17,14.07,14.98,110938800
"628",2011-11-18,14.98,15.13,13.775,13.93,66930700
"629",2011-11-25,13.7101,15.16,13.5,14.04,96255700
"630",2011-12-02,14.5,16.05,14.5,15.72,78015100
"631",2011-12-09,15.98,16,14.375,14.9,69396800
"632",2011-12-16,14.58,14.9,13.43,13.51,69502200
"633",2011-12-23,13.57,14.4,13.11,14.17,57060400
"634",2011-12-30,14.11,14.28,13.65,13.86,20693500
"635",2012-01-06,14.3,14.78,13.92,14.54,47805400
"636",2012-01-13,14.55,14.82,13.66,13.73,67387700
"637",2012-01-20,13.94,14.5,13.5,14.22,60360900
"638",2012-01-27,14.23,15.24,14.05,14.91,95438300
"639",2012-02-03,14.65,15.95,14.43,15.82,59411600
"640",2012-02-10,15.74,16.62,15.46,15.895,63474700
"641",2012-02-17,16.3,16.9,15,15.85,127105700
"642",2012-02-24,15.84,16.32,15.6,15.79,42531100
"643",2012-03-02,15.59,15.66,15.14,15.38,81709200
"644",2012-03-09,15.27,15.3,14.46,14.82,55673000
"645",2012-03-16,14.88,14.98,14.32,14.6,59991600
"646",2012-03-23,14.68,14.75,14.24,14.545,51592100
"647",2012-03-30,14.69,15.49,14.55,15.395,62523900
"648",2012-04-05,15.36,15.4899,14.56,14.63,42589300
"649",2012-04-13,14.4,14.76,14.09,14.16,47625400
"650",2012-04-20,14.26,14.3,13.36,13.39,62542700
"651",2012-04-27,13.16,13.38,12.75,12.98,79459000
"652",2012-05-04,12.91,13.37,12.26,12.26,57989600
"653",2012-05-11,12.48,13.68,12.12,13.21,90489800
"654",2012-05-18,13.1,13.42,12.02,12.08,60263700
"655",2012-05-25,12.1,12.53,11.825,12.4,55864300
"656",2012-06-01,12.6,12.8,11.96,11.98,37224200
"657",2012-06-08,12.04,12.64,11.63,12.12,51603400
"658",2012-06-15,12.51,12.73,11.91,12.29,70116400
"659",2012-06-22,12.2,13.7,12.1,12.995,90483900
"660",2012-06-29,13.01,13.85,12.48,13.82,65005900
"661",2012-07-06,13.89,13.9,13.25,13.4,36595100
"662",2012-07-13,13.32,13.47,12.285,12.555,52500000
"663",2012-07-20,12.48,13.36,12.16,12.805,56299500
"664",2012-07-27,12.47,13.52,12.33,13.475,48318700
"665",2012-08-03,13.48,13.86,13.1,13.72,44542800
"666",2012-08-10,13.85,15.22,13.83,14.621,84644300
"667",2012-08-17,14.64,14.88,14.405,14.65,52783700
"668",2012-08-24,14.6,14.79,14.25,14.6,42374000
"669",2012-08-31,14.59,14.6299,13.89,14.03,42366800
"670",2012-09-07,13.8,14.09,12.95,13.4,65326700
"671",2012-09-14,13.37,14.08,13.22,13.84,46245700
"672",2012-09-21,13.87,13.9,13.295,13.665,49149200
"673",2012-09-28,13.45,13.9,13.02,13.34,58014600
"674",2012-10-05,13.4,13.8,12.97,13.3,55406900
"675",2012-10-12,13.25,13.31,12.55,12.63,37868400
"676",2012-10-19,12.65,13.2,12.035,12.105,49330300
"677",2012-10-26,12.16,12.46,11.83,12.05,52110900
"678",2012-11-02,12.1,12.7,11.95,12.49,26925800
"679",2012-11-09,12.46,13.08,12.15,12.19,70139200
"680",2012-11-16,12.21,12.26,11.15,11.38,71157100
"681",2012-11-23,11.59,12.04,11.37,11.9,36007800
"682",2012-11-30,11.92,12.34,11.9,11.97,54088200
"683",2012-12-07,12.12,12.12,11.7,11.955,57591400
"684",2012-12-14,11.96,12.81,11.93,12.59,61149700
"685",2012-12-21,12.56,12.8,12.21,12.35,52917900
"686",2012-12-28,12.34,12.4199,12.02,12.1,21113000
"687",2013-01-04,12.06,13.19,12.03,13.15,40728800
"688",2013-01-11,13.14,13.18,12.09,12.21,69792900
"689",2013-01-18,12.29,12.3,11.91,12.17,49919300
"690",2013-01-25,12.16,12.42,12,12.41,38023300
"691",2013-02-01,12.47,12.69,12.18,12.37,46457900
"692",2013-02-08,12.3,12.55,12.07,12.37,53924000
"693",2013-02-15,12.47,12.79,12.05,12.731,78961600
"694",2013-02-22,12.74,12.8,12.26,12.52,52428000
"695",2013-03-01,12.55,12.85,12.2091,12.71,64742900
"696",2013-03-08,12.62,13,12.52,12.82,40601600
"697",2013-03-15,12.69,12.9562,12.56,12.64,45888100
"698",2013-03-22,12.56,12.67,12.38,12.48,39147200
"699",2013-03-28,12.55,12.84,12.32,12.83,29970900
"700",2013-04-05,12.8,12.8,12.04,12.46,50338400
"701",2013-04-12,12.47,13.23,12.195,13.09,70792500
"702",2013-04-19,13.05,13.09,12.37,12.57,53444700
"703",2013-04-26,12.56,13.5,12.46,13.41,46415700
"704",2013-05-03,13.43,13.97,13.37,13.87,37627100
"705",2013-05-10,13.87,14.6,13.52,14.54,60678800
"706",2013-05-17,14.44,14.97,14.18,14.87,41940200
"707",2013-05-24,14.81,14.98,14.19,14.54,43793900
"708",2013-05-31,14.65,14.775,14.38,14.47,36909100
"709",2013-06-07,14.49,14.8,14.12,14.445,47207300
"710",2013-06-14,14.41,14.53,13.97,14.35,32633500
"711",2013-06-21,14.46,15.48,14.18,14.415,81115500
"712",2013-06-28,14.21,14.395,13.83,14.04,71436400
"713",2013-07-05,14.14,14.3,13.96,14.24,19524700
"714",2013-07-12,14.28,14.78,14.09,14.64,27102700
"715",2013-07-19,14.67,14.77,14.09,14.24,33875300
"716",2013-07-26,14.35,14.48,14.09,14.2,32352700
"717",2013-08-02,14.17,14.79,14.13,14.76,30076300
"718",2013-08-09,14.72,14.88,14.11,14.49,47202400
"719",2013-08-16,14.33,15.4,14.22,15.189,61922184
"720",2013-08-23,15.1,15.15,14.82,14.96,31582500
"721",2013-08-30,14.97,15.03,14.68,14.75,38769400
"722",2013-09-06,14.79,15.03,14.67,14.88,22710500
"723",2013-09-13,15,15.9,14.96,15.8,34955200
"724",2013-09-20,15.93,16.1,15.75,15.795,31294900
"725",2013-09-27,15.78,15.91,15.49,15.58,25871700
"726",2013-10-04,15.42,15.72,15.305,15.59,32466200
"727",2013-10-11,15.53,15.77,15.1,15.26,29342800
"728",2013-10-18,15.22,15.86,15.22,15.81,26347800
"729",2013-10-25,16,16.01,15.19,15.24,29840100
"730",2013-11-01,15.22,15.35,15,15.255,37137800
"731",2013-11-08,15.31,15.61,14.52,15.56,57957100
"732",2013-11-15,15.5,16.315,15.47,16.17,42619000
"733",2013-11-22,15.82,15.96,15.15,15.18,27516900
"734",2013-11-29,15.18,15.805,15.18,15.6,32490500
"735",2013-12-06,15.54,15.99,15.43,15.47,42760500
"736",2013-12-13,15.47,15.63,15,15.02,44173900
"737",2013-12-20,15.03,15.7,14.9,15.685,39464500
"738",2013-12-27,15.78,15.925,15.63,15.76,15701600
"739",2014-01-03,15.77,16.1,15.62,15.67,25084500
"740",2014-01-10,15.83,16.44,15.59,15.73,39040900
"741",2014-01-17,15.73,16.25,15.33,15.99,30531400
"742",2014-01-24,16.01,16.15,15.56,15.56,25393500
"743",2014-01-31,15.56,15.79,15.37,15.7,27574900
"744",2014-02-07,15.81,15.89,15.32,15.87,31318100
"745",2014-02-14,15.85,17.95,15.835,17.91,75616400
"746",2014-02-21,17.92,18.99,17.75,18.64,43211700
"747",2014-02-28,18.6,19.05,18.1144,18.38,42918000
"748",2014-03-07,17.97,18.77,17.81,18.36,35909000
"749",2014-03-14,18.3,18.43,17.56,17.82,42068900
"750",2014-03-21,17.87,18.91,17.8,18.54,42941100
"751",2014-03-28,18.55,18.97,17.585,17.9,52695600
"752",2014-04-04,17.93,19.185,17.805,18.15,53430100
"753",2014-04-11,18.16,19.11,17.88,18.12,51177400
"754",2014-04-17,18.24,18.73,18.12,18.56,24587200
"755",2014-04-25,18.57,19.46,18.45,18.73,33469900
"756",2014-05-02,18.88,18.98,18.32,18.43,26457700
"757",2014-05-09,18.41,18.97,17.71,18.05,48040200
"758",2014-05-16,18.09,18.63,17.82,17.96,33628400
"759",2014-05-23,18.15,18.64,18.07,18.49,28650200
"760",2014-05-30,18.6,19.13,18.54,19,21134200
"761",2014-06-06,19.06,19.2,18.61,19.03,23392400
"762",2014-06-13,19.01,19.73,18.88,19.54,32407300
"763",2014-06-20,19.45,19.69,18.78,18.93,34987600
"764",2014-06-27,18.68,18.83,18.23,18.38,36628200
"765",2014-07-03,18.31,18.9,18.31,18.85,20446700
"766",2014-07-11,18.88,19.19,18.37,19.05,29865000
"767",2014-07-18,19.13,19.6,18.41,18.44,47011300
"768",2014-07-25,18.37,18.79,17.76,17.79,34006000
"769",2014-08-01,17.87,18.13,17.415,17.69,35406800
"770",2014-08-08,17.67,19.1,17.34,19,51634000
"771",2014-08-15,19.02,19.17,18.68,19.04,38079000
"772",2014-08-22,19.12,19.47,18.93,19.08,31945600
"773",2014-08-29,19.16,19.49,19.07,19.45,24840600
"774",2014-09-05,19.5,20.15,19.315,19.97,29942900
"775",2014-09-12,19.95,19.99,19.095,19.12,30087700
"776",2014-09-19,19.18,19.52,18.75,19.08,37714800
"777",2014-09-26,19.47,19.47,18.47,18.545,27882381
"778",2014-10-03,18.4,18.65,17.77,18.23,34122171
"779",2014-10-10,18.3,18.45,16.84,16.845,43986904
"780",2014-10-17,16.96,17.865,16.77,17.42,45513659
"781",2014-10-24,17.42,18.59,17.3,18.48,30396243
"782",2014-10-31,18.47,19.55,18.27,19.54,23315456
"783",2014-11-07,19.99,20.6859,19.59,19.79,46238157
"784",2014-11-14,19.77,20.1501,19.375,19.785,27413983
"785",2014-11-21,19.7,20.55,19.57,20.455,25668816
"786",2014-11-28,20.5,21.09,20.42,20.97,16758561
"787",2014-12-05,20.88,21.19,20.37,21.07,26819536
"788",2014-12-12,21.04,21.25,19.61,19.63,28275718
"789",2014-12-19,19.86,20.63,19.1,20.42,33432248
"790",2014-12-26,20.4,21.04,20.33,20.59,8913568
"791",2015-01-02,20.53,20.7,19.811,20.13,11886108
"792",2015-01-09,20.13,20.19,19.08,19.94,30237340
"793",2015-01-16,19.99,20.24,19.4,19.96,23829355
"794",2015-01-23,20.1,20.745,19.77,20.71,14130412
"795",2015-01-30,20.62,20.72,19.17,19.205,32436442
"796",2015-02-06,19.32,20.71,18.94,20.4,24388959
"797",2015-02-13,20.28,22.5,20.15,22.31,45199821
"798",2015-02-20,22.27,22.49,22,22.335,17537043
"799",2015-02-27,22.33,22.33,21.96,22.06,17713632
"800",2015-03-06,22,22.9,21.971,22.55,31728648
"801",2015-03-13,22.56,23.3,22.24,22.7,44449373
"802",2015-03-20,22.88,23.605,22.66,23.47,43089482
"803",2015-03-27,22.77,23.07,20.46,21.38,48231291
"804",2015-04-02,21.48,21.58,20.65,21.06,28337507
"805",2015-04-10,20.97,22.77,20.75,22.76,43398435
"806",2015-04-17,22.71,22.83,22.01,22.2,24434538
"807",2015-04-24,22.3,22.44,21.65,22.03,29245933
"808",2015-05-01,22.1,22.82,21.91,22.75,19638612
"809",2015-05-08,22.73,22.88,20.49,20.825,62281185
"810",2015-05-15,20.54,21.48,20.38,21.3,43758607
"811",2015-05-22,21.25,21.4,20.81,20.86,30697627
"812",2015-05-29,20.76,22.28,20.574,22.13,33872223
"813",2015-06-05,22.27,22.6001,21.57,22.26,37119544
"814",2015-06-12,22.19,22.34,21.06,21.11,43398509
